id,name,set,lang,condition,is_foil,format,quantity,price_clp,image_url,status,price_usd_ref,price_source
212,Pyrite Spellbomb,2XM,en,NM,false,Modern,1,500,Pyrite Spellbomb - 2XM - en - NM - 1.jpg,available,0.39,cardkingdom
407,Quebrantahuesos,CMR,es,NM,false,Modern,1,500,Quebrantahuesos - CMR - es - NM - 1 (2).jpg,available,0.35,cardkingdom
408,Quebrantahuesos,CMR,es,NM,false,Modern,1,500,Quebrantahuesos - CMR - es - NM - 1 (3).jpg,available,0.35,cardkingdom
409,Quebrantahuesos,CMR,es,NM,false,Modern,1,500,Quebrantahuesos - CMR - es - NM - 1 (4).jpg,available,0.35,cardkingdom
216,Quebrantahuesos,CMR,es,NM,false,Modern,1,500,Quebrantahuesos - CMR - es - NM - 1.jpg,available,0.35,cardkingdom
217,Ratchet Bomb,2XM,en,NM,false,Modern,1,560,Ratchet Bomb - 2XM - en - NM - 1.jpg,available,0.59,cardkingdom
218,Recuperador myr,C16,es,NM,false,Modern,1,2650,Recuperador myr - C16 - es - NM - 1.jpg,available,2.79,cardkingdom
410,Relic of Progenitus,EMA,en,NM,false,Modern,1,7116,Relic of Progenitus - EMA - en - NM - 1 (2).jpg,available,7.49,cardkingdom
220,Relic of Progenitus,EMA,en,NM,false,Modern,1,7116,Relic of Progenitus - EMA - en - NM - 1.jpg,available,7.49,cardkingdom
221,Reliquia de Progenitus,BRC,es,NM,false,Modern,1,8066,Reliquia de Progenitus - BRC - es - NM - 1.jpg,available,8.49,cardkingdom
411,Santuario del sínodo,MRD,es,NM,false,Modern,1,500,Santuario del sínodo - MRD - es - NM - 1 (2).jpg,available,0.35,cardkingdom
412,Santuario del sínodo,MRD,es,NM,false,Modern,1,500,Santuario del sínodo - MRD - es - NM - 1 (3).jpg,available,0.35,cardkingdom
224,Santuario del sínodo,MRD,es,NM,false,Modern,1,500,Santuario del sínodo - MRD - es - NM - 1.jpg,available,0.35,cardkingdom
413,Scrapheap Scrounger,KLD,en,NM,false,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1 (2).jpg,available,0.49,cardkingdom
414,Scrapheap Scrounger,KLD,en,NM,false,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1 (3).jpg,available,0.49,cardkingdom
415,Scrapheap Scrounger,KLD,en,NM,false,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1 (4).jpg,available,0.49,cardkingdom
228,Scrapheap Scrounger,KLD,en,NM,false,Modern,1,500,Scrapheap Scrounger - KLD - en - NM - 1.jpg,available,0.49,cardkingdom
229,Scrapheap Scrounger,KLD,en,NM,true,Modern,1,750,Scrapheap Scrounger - KLD - en - NM_FOIL - 1.jpg,available,0.79,cardkingdom
230,Scrapwork Mutt,BRO,en,NM,false,Modern,1,656,Scrapwork Mutt - BRO - en - NM - 1.jpg,available,0.69,cardkingdom
231,Sierra de hueso,BRR,es,NM,true,Modern,1,500,Sierra de hueso - BRR - es - NM_FOIL - 1.jpg,available,0.49,cardkingdom
